,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),29日平均涨跌幅(%)
59,保险,59.45,6.05,0.24
79,证券,51.36,13.09,0.47
6,银行,22.49,7.33,0.32
67,光伏设备,12.63,16.79,0.55
62,钢铁行业,5.15,13.08,0.39
80,教育,-2.38,6.97,0.28
85,多元金融,-2.71,25.99,0.92
74,煤炭行业,-5.19,7.42,0.23
8,汽车服务,-5.26,4.92,0.17
0,能源金属,-5.56,14.03,0.48
76,玻璃玻纤,-6.1,16.39,0.59
43,非金属材料,-8.25,13.05,0.46
70,房地产服务,-8.92,5.65,0.24
32,铁路公路,-9.18,1.02,0.04
20,工程咨询服务,-9.22,10.64,0.38
12,公用事业,-10.04,5.43,0.19
47,航空机场,-10.63,-0.4,-0.03
49,水泥建材,-12.8,9.46,0.31
45,综合行业,-16.13,10.26,0.38
40,燃气,-16.29,5.35,0.21
50,装修建材,-16.5,7.63,0.28
24,橡胶制品,-16.72,4.59,0.18
16,专业服务,-19.15,10.5,0.37
33,医药商业,-19.39,4.38,0.22
36,消费电子,-19.44,9.47,0.32
60,装修装饰,-21.54,3.58,0.12
82,房地产开发,-23.27,9.88,0.32
17,石油行业,-24.27,7.76,0.28
66,旅游酒店,-25.4,3.51,0.17
65,贸易行业,-26.48,8.69,0.31
61,美容护理,-26.57,-6.16,-0.06
56,包装材料,-26.74,10.35,0.37
28,风电设备,-28.43,8.68,0.32
38,化纤行业,-30.49,1.7,0.07
35,化肥行业,-32.7,8.45,0.3
1,电机,-32.98,5.08,0.2
18,家电行业,-33.02,5.64,0.2
10,仪器仪表,-33.24,6.98,0.27
11,工程机械,-35.87,4.22,0.13
39,工程建设,-36.04,6.14,0.22
44,航运港口,-36.56,6.54,0.23
2,贵金属,-40.95,5.33,0.32
22,珠宝首饰,-41.65,-0.4,0.18
15,造纸印刷,-44.62,6.05,0.22
51,家用轻工,-47.68,5.04,0.3
71,电子化学品,-48.51,6.85,0.25
42,医疗器械,-49.32,5.07,0.23
53,采掘行业,-51.3,16.91,0.61
13,交运设备,-51.54,5.94,0.23
68,医疗服务,-53.25,8.26,0.36
14,电源设备,-58.88,11.68,0.38
21,纺织服装,-61.62,4.0,0.2
27,物流行业,-62.9,2.26,0.13
77,船舶制造,-63.18,17.97,0.63
41,中药,-64.78,2.2,0.15
29,生物制品,-67.16,5.76,0.3
63,农牧饲渔,-67.39,3.11,0.15
69,小金属,-69.5,18.94,0.68
84,游戏,-75.76,12.97,0.54
78,通信服务,-76.46,6.5,0.25
37,有色金属,-83.63,11.6,0.43
34,化学原料,-85.86,6.23,0.24
5,塑料制品,-86.84,8.86,0.34
52,食品饮料,-87.86,-2.4,0.0
46,农药兽药,-94.79,4.1,0.19
3,电力行业,-95.04,6.45,0.21
73,商业百货,-96.4,-0.16,0.02
31,环保行业,-98.15,5.3,0.18
83,文化传媒,-106.89,7.11,0.28
55,光学光电子,-126.73,9.67,0.34
72,酿酒行业,-127.38,-0.31,-0.01
26,航天航空,-128.42,9.39,0.37
54,计算机设备,-128.75,8.8,0.32
48,电池,-132.71,15.37,0.53
58,汽车整车,-142.35,1.58,0.01
25,电子元件,-143.88,16.87,0.57
30,化学制品,-156.77,7.47,0.29
4,电网设备,-157.98,7.9,0.28
57,通信设备,-201.16,11.51,0.41
23,化学制药,-211.41,7.53,0.38
7,通用设备,-226.91,5.52,0.2
64,半导体,-228.0,6.65,0.25
75,互联网服务,-232.49,10.44,0.37
19,专用设备,-262.13,7.63,0.28
81,软件开发,-294.21,11.39,0.4
9,汽车零部件,-303.39,3.58,0.14
