行业名称,主力净流入-总净额,行业涨跌幅
船舶制造,-6317680448.0,17.97
小金属,-6950252432.0,18.94
证券,5136258208.0,13.09
多元金融,-271065360.0,25.99
软件开发,-29420723504.0,11.39
贸易行业,-2648144433.0,8.69
互联网服务,-23248636080.0,10.44
有色金属,-8363104864.0,11.6
医疗服务,-5325389968.0,8.26
生物制品,-6716129936.0,5.76
汽车服务,-526485768.0,4.92
非金属材料,-824826147.0,13.05
贵金属,-4094884096.0,5.33
电机,-3298242879.0,5.08
化学制药,-21141113888.0,7.53
半导体,-22800459584.0,6.65
能源金属,-555705113.0,14.03
钢铁行业,514943376.0,13.08
计算机设备,-12874643680.0,8.8
专业服务,-1914674013.0,10.5
石油行业,-2427497440.0,7.76
房地产开发,-2327435424.0,9.88
通用设备,-22690558416.0,5.52
专用设备,-26213457264.0,7.63
航天航空,-12842400384.0,9.39
综合行业,-1612794895.0,10.26
工程机械,-3586548080.0,4.22
汽车零部件,-30338997296.0,3.58
农牧饲渔,-6738783760.0,3.11
航空机场,-1062698812.0,-0.4
通信设备,-20115830784.0,11.51
酿酒行业,-12738338288.0,-0.31
仪器仪表,-3323753166.0,6.98
医疗器械,-4931589808.0,5.07
中药,-6477581744.0,2.2
化肥行业,-3269532793.0,8.45
工程建设,-3603747888.0,6.14
环保行业,-9814981008.0,5.3
文化传媒,-10688616240.0,7.11
食品饮料,-8786467888.0,-2.4
旅游酒店,-2539646567.0,3.51
农药兽药,-9479095536.0,4.1
通信服务,-7646328848.0,6.5
采掘行业,-5129744495.0,16.91
光学光电子,-12673411472.0,9.67
塑料制品,-8684192448.0,8.86
保险,5944785728.0,6.05
水泥建材,-1280153477.0,9.46
包装材料,-2673523751.0,10.35
交运设备,-5153534336.0,5.94
化学原料,-8585580960.0,6.23
航运港口,-3656172320.0,6.54
商业百货,-9640044256.0,-0.16
风电设备,-2842878332.0,8.68
房地产服务,-892346283.0,5.65
物流行业,-6289766352.0,2.26
家电行业,-3301620128.0,5.64
化纤行业,-3049275821.0,1.7
美容护理,-2656834853.0,-6.16
煤炭行业,-519221632.0,7.42
装修装饰,-2154162467.0,3.58
医药商业,-1938545567.0,4.38
电池,-13270531024.0,15.37
家用轻工,-4768018915.0,5.04
橡胶制品,-1671853039.0,4.59
装修建材,-1649514149.0,7.63
铁路公路,-917613566.0,1.02
电力行业,-9504164112.0,6.45
光伏设备,1263123168.0,16.79
化学制品,-15676655184.0,7.47
汽车整车,-14235339408.0,1.58
燃气,-1629489298.0,5.35
电网设备,-15797526656.0,7.9
电子化学品,-4850952471.0,6.85
纺织服装,-6162303093.0,4.0
电子元件,-14388167536.0,16.87
造纸印刷,-4461904816.0,6.05
消费电子,-1943914352.0,9.47
教育,-238134083.0,6.97
珠宝首饰,-4164963153.0,-0.4
公用事业,-1004052958.0,5.43
游戏,-7575754848.0,12.97
电源设备,-5888113584.0,11.68
银行,2248656560.0,7.33
工程咨询服务,-922239481.0,10.64
玻璃玻纤,-609753584.0,16.39
